"idsite","occ1","occ2","occ3","occ4","effort","altitude","foret","X","Y"
669,0,0,0,0,0.229090277905729,-0.454573741675077,-0.986472399556375,595000,6225000
670,0,0,0,0,0.148076083813736,-0.362159058175428,0.474984017386496,605000,6225000
671,0,0,0,0,-0.0544594014162461,-0.344208711570922,-0.605566551230031,615000,6225000
672,0,0,0,0,-0.135473595508239,-0.491000968764895,-0.874266755257072,625000,6225000
673,0,0,0,0,-0.216487789600232,-0.564626796945306,0.121043267690394,635000,6225000
674,0,0,0,0,-0.175980692554235,-0.617984048635569,-0.0544673753364394,645000,6225000
675,0,0,0,0,-0.338009080738221,-0.384096873676296,0.522532627864874,655000,6225000
676,0,0,0,0,-0.419023274830214,-0.529137433247311,-0.607030863024665,665000,6225000
677,0,0,0,0,-0.500037468922207,-0.772062131825542,-0.497844431494694,675000,6225000
678,0,0,0,0,-0.621558760060196,-0.833917557405024,-0.22887128125783,685000,6225000
679,0,0,0,0,-0.662065857106192,-0.862577687625811,-0.707420175910944,695000,6225000
680,0,0,0,0,-0.702572954152189,-0.966993639589432,-0.969958160411991,705000,6225000
681,0,0,0,0,-0.783587148244182,-0.975753116576787,-1.21881149164234,715000,6225000
682,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,725000,6225000
683,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,735000,6225000
684,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,745000,6225000
698,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,885000,6225000
699,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,895000,6225000
700,0,0,0,0,-0.702572954152189,-1.02721033479338,-1.25499708283751,905000,6225000
701,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,915000,6225000
702,0,0,0,0,-0.540544565968203,-1.02212614357694,-1.17778886760423,925000,6225000
703,0,0,0,0,-0.419023274830214,-0.945902875430809,-0.835885197304545,935000,6225000
704,0,0,0,0,-0.175980692554235,-0.94634541447148,-1.15704938408789,945000,6225000
705,0,0,0,0,-0.0949664984622425,-0.977617998304618,-0.894524078704426,955000,6225000
706,0,0,0,0,-0.0544594014162461,-1.01889575616585,-1.24217686902993,965000,6225000
707,0,0,0,0,-0.216487789600232,-0.910453075744021,-1.12719954205486,975000,6225000
708,0,0,0,0,-0.378516177784217,-0.917335398617245,-1.25499708283751,985000,6225000
709,0,0,0,0,-0.662065857106192,-1.02721033479338,-1.25499708283751,995000,6225000
710,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,1005000,6225000
722,0,0,0,0,-0.175980692554235,-0.319859112110067,-0.284464278278487,525000,6235000
723,0,0,0,0,-0.135473595508239,-0.375792626157252,0.258901679854907,535000,6235000
724,0,0,0,0,-0.256994886646228,-0.475886680911023,-0.318124254078246,545000,6235000
725,0,0,0,0,-0.338009080738221,-0.473325412369009,-0.519183672632729,555000,6235000
726,0,0,0,0,-0.540544565968203,-0.466376979148764,-1.02382385076749,565000,6235000
727,0,0,0,0,-0.338009080738221,-0.458119556119757,-1.02688610181642,575000,6235000
728,0,0,0,0,-0.135473595508239,-0.497432523789846,-0.694847003890942,585000,6235000
729,0,0,0,0,-0.175980692554235,-0.531194259042296,-1.20105509046166,595000,6235000
730,0,0,0,0,-0.135473595508239,-0.452942961716316,-0.735498881606751,605000,6235000
731,0,0,0,0,-0.378516177784217,-0.451647395689982,-0.722435416697323,615000,6235000
732,0,0,0,0,-0.45953037187621,-0.663666244787761,-1.18850334076217,625000,6235000
733,0,0,0,0,-0.338009080738221,-0.680358972395522,-0.800470451837268,635000,6235000
734,0,0,0,0,-0.378516177784217,-0.781594958578433,-1.23303877494353,645000,6235000
735,0,0,0,0,-0.419023274830214,-0.789260793445609,-0.943662781864999,655000,6235000
736,0,0,0,0,-0.540544565968203,-0.882497581096968,-1.08598070740932,665000,6235000
737,0,0,0,0,-0.621558760060196,-0.873636655180245,-0.932207190711028,675000,6235000
738,0,0,0,0,-0.702572954152189,-0.947458786395592,-1.03522165343336,685000,6235000
739,0,0,0,0,-0.743080051198185,-0.952960927509072,-1.1156753186522,695000,6235000
740,0,0,0,0,-0.743080051198185,-0.980879387315923,-0.908161185284196,705000,6235000
741,0,0,0,0,-0.783587148244182,-0.960872200203369,-1.24129960942982,715000,6235000
742,0,0,0,0,-0.783587148244182,-1.01124865832593,-1.24961021166263,725000,6235000
743,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,735000,6235000
744,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,745000,6235000
745,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,755000,6235000
746,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,765000,6235000
747,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,775000,6235000
748,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,785000,6235000
749,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,795000,6235000
757,0,0,0,0,-0.783587148244182,-1.02721033479338,-1.25499708283751,875000,6235000
758,0,0,0,0,-0.783587148244182,-0.95741681163916,-1.25499708283751,885000,6235000
759,0,0,0,0,-0.702572954152189,-0.732093380858555,-1.07870560485768,895000,6235000
760,0,0,0,0,-0.662065857106192,-0.711042620639292,-1.13947653965428,905000,6235000
